Hidden layers,2
Neurons per layer,64
Input size,18
Learning rate,0.0001
Batch size,32
Discount,0.99
Update ratio,1000
Replay buffer size,100000
Target episodes,1
Epsilon decay function,linear
Reward multiplier,1
Input type,Default

Loss,Reward,Epsilon,Epsilon adjusted loss,Epsilon adjusted reward,bias gradient,weight gradient
1.278145313262939,-0.000060000045778,1.000000000000000,1.278145313262939,-0.000060000045778,0.000005324561534,0.000002593482770
0.824793696403503,-0.000249999953667,1.000000000000000,0.824793696403503,-0.000249999953667,0.000004172553523,0.000001831171127
